,summary,finalRatingStatus
60860,"The IDF withdrew its 36th Division from Gaza for an R&amp;R and training period, leaving 3 other divisions fighting Hamas in the Strip.    https://www.timesofisrael.com/liveblog_entry/idf-withdraws-one-of-four-divisions-from-gaza-for-rr-training/    This followed an Israeli announcement that it would begin pulling some soldiers out of Gaza in preparation for a new phase of the conflict.    https://amp.cnn.com/cnn/2024/01/01/middleeast/israel-to-withdraw-some-troops-from-gaza-intl/index.html",CURRENTLY_RATED_HELPFUL
159346,"This is a photoshopped, fake translation placed over the interview of former Israeli hostage Mia Schem on December 2023. Schem never complained about not being raped, but rather said that she was scared she would be raped.     https://ibb.co/MMQ9JsM    https://youtu.be/y02xPRX6vCE?si=JX6c_toAp0SlvczJ",CURRENTLY_RATED_HELPFUL
5884,"The context behind this photo is unclear. Some reports indicate it was taken in 2018, some 2014.    When the photographer posted it to his instagram in 2018, he made no mention of her house being destroyed, merely that she was from Gaza. He has not clarified the situation.    https://www.yahoo.com/entertainment/fact-check-photo-palestinian-child-173451262.html    https://thedispatch.com/article/palestinian-girl-crying-2018-fact-check/    https://www.dw.com/en/fact-check-children-used-as-a-propaganda-tool-in-the-israel-gaza-crisis/a-57571541",CURRENTLY_RATED_HELPFUL
29657,This building was destroyed via Israeli air strikes and is in Gaza.  This was also covered live on Al Jazeera.     https://x.com/EPropoganda1/status/1710707568396362148?s=20,CURRENTLY_RATED_HELPFUL
35805,This video originates from Algeria.    It does not depict the war in Gaza.    https://www.reuters.com/fact-check/israel-hamas-war-video-red-flares-fireworks-shows-algeria-not-gaza-2023-10-11/,CURRENTLY_RATED_HELPFUL
57532,The blast was caused by ammonium nitrate that was improperly stored near the city's cargo port. It had been sitting in a warehouse since 2014:  https://www.scientificamerican.com/article/how-could-the-beirut-explosion-happen-experts-explain/,CURRENTLY_RATED_HELPFUL
94197,"The facts are true, but the place and date are not. The events took place at Carthage airport in Tunisia in 2022, not in Morocco.    Source : https://www.youtube.com/watch?v=JzmA_-O-Lr8&amp;pp=ygUg2YXYt9in2LEg2YLYsdi32KfYrSDYp9mE2LTYsdi32Kk%3D",CURRENTLY_RATED_HELPFUL
31911,Issam was killed by an Israeli artillery strike near the Israel-Lebanon border.  https://www.businessinsider.com/reuters-journalist-died-after-crew-was-struck-by-israeli-artillery-2023-10,CURRENTLY_RATED_HELPFUL
76209,"This has been debunked by military experts. There are fuses in their normal containers, not bombs disguised as meat as claimed.     https://www.aap.com.au/factcheck/experts-dismiss-exploding-cans-claim/    https://www.politifact.com/factchecks/2024/feb/01/instagram-posts/no-viral-footage-doesnt-show-explosives-disguised/    https://observers.france24.com/en/middle-east/20240130-no-the-israeli-army-didn-t-drop-explosives-made-to-look-like-cans-of-food-into-gaza",CURRENTLY_RATED_HELPFUL
68533,The video of a well organised camp with tented shelter is stock footage of a Ukrainian refugee camp located in Moldova.    Not Gaza.    https://www.istockphoto.com/video/refugee-camp-with-many-shelter-and-living-place-refugees-from-ukraine-gm1386259471-444616192,CURRENTLY_RATED_HELPFUL
30552,This video was announcing that The Islamic Resistance - Hezbullah was going to carry out a rare public military drill that simulated raiding an Israeli base on the 21st of May.  https://twitter.com/lebupdates00/status/1658934399222571008?s=46&amp;t=H8UAeWrGoQKs_WSvoYfgMA  https://www.youtube.com/watch?v=vvvBnEdWazU,CURRENTLY_RATED_HELPFUL
68939,"The video clip used from 21 seconds onwards with tents and shelters on a field dates back to March 21st, 2022. It was filmed at a camp in Moldova next to the Ukrainian border for the refugees displaced by the war. It has thus nothing to do with Israel or Gaza.     Source: https://www.istockphoto.com/video/refugee-camp-with-many-shelter-and-living-place-refugees-from-ukraine-gm1386259471-444616192 ",CURRENTLY_RATED_HELPFUL
149588,"The boy was not detained, but taken care of by police due to lack of adult attendance. The father picked him up 90 minutes later.    https://x.com/polizeiberlin/status/1837824949500669981",CURRENTLY_RATED_HELPFUL
62934,"important context:    The artificial island is intended to be a transport hub and an industrial zone, and not &quot;an alternative homeland for Palestinians&quot;.    https://www.jpost.com/israel-hamas-war/article-783199#:~:text=Such%20an%20island%20could%20harbor%20a%20maritime%20port%2C%20an%20airport%2C%20a%20desalination%20plant%2C%20and%20an%20industrial%20zone    https://www.reuters.com/article/idUSKBN19J1XV/",CURRENTLY_RATED_HELPFUL
76508,"The Biden administration wants to build a port to enable a more efficient and safe way for aid to be delivered to the Palestinian people.    https://www.google.com/amp/s/abcnews.go.com/amp/Politics/sotu-biden-announce-emergency-us-military-mission-build/story%3fid=107889126    Exporting oil requires different, specific infrastructure.",CURRENTLY_RATED_HELPFUL
51929,The police of Hamburg have publicly stated that they're unaware of any such incident.    https://x.com/PolizeiHamburg/status/1738636652594000367,CURRENTLY_RATED_HELPFUL
163832,"There is no proof of Lisa's alleged boyfriend being a Zionist. The $120 million funding is for a cybersecurity firm, not the IDF.  https://rb.gy/8v27dr    Additionally, it’s reported that all proceeds from Lisa’s Global Citizen appearance were donated to support the children of Gaza and Sudan.    https://rb.gy/9rxhp7",CURRENTLY_RATED_HELPFUL
71729,Tiffany Haddish has been accused of grooming and CSA     https://www.nbcnews.com/news/amp/rcna46006    At least 60 accused pedophiles have fled from the US to Israel. Israel has been described as a ‘safe haven’ for pedophiles.    https://www.cbsnews.com/amp/news/how-jewish-american-pedophiles-hide-from-justice-in-israel/  https://www.independent.co.uk/news/world/israel-safe-haven-paedophiles-jerusalem-sex-abuse-jewish-community-watch-a7445246.html  ,CURRENTLY_RATED_HELPFUL
152416,Misinformation: This video is 3 years old from 14/Dec/2021 when Netanyahu was rushing to vote at Knesset. He had posted it on twitter.     https://x.com/netanyahu/status/1470499097303998471?t=ncnYzeAq2DVOQqmu2raf1g&amp;s=19    https://www.hidabroot.org/article/1162572,CURRENTLY_RATED_HELPFUL
38164,This is political satire from an old blog. It is being misinterpreted by some as factual  https://legalienate.blogspot.com/2010/06/psychiatrist-of-israeli-prime-minister.html?m=1,CURRENTLY_RATED_HELPFUL
29784,"Contrary to what has been claimed, the woman in the video is not an Israeli citizen, but a German citizen visiting Israel to take part in a peace-themed music festival.      https://www.blick.ch/ausland/militante-feiern-opfer-wie-eine-trophaee-diese-junge-deutsche-30-haben-die-hamas-terroristen-entfuehrt-id19020453.html    (here you can also find her instagram pictures (tatto etc. to identify))    https://www.bild.de/politik/ausland/politik-ausland/israeli-sieht-familie-auf-terror-video-die-hamas-hat-meine-frau-und-meine-kinder-85667396.bild.html",CURRENTLY_RATED_HELPFUL
39024,The video is the backstage of the short film &quot;The Reality&quot; shot in Lebanon by Lebanese actors to support the population of Gaza.     https://www.reuters.com/fact-check/filming-movie-shared-claim-israel-hamas-conflict-is-staged-2023-10-11/    Trailer of the movie on the director's Instagram   https://www.instagram.com/mahmoudramzi.official  https://www.instagram.com/reel/Cy8vWmir9Nj/?igshid=MDI3ODU5M2RlNw==,CURRENTLY_RATED_HELPFUL
170217,"This is a photo of Krasnodar, not Haifa.    https://en.m.wikipedia.org/wiki/Krasnodar",CURRENTLY_RATED_HELPFUL
125014,India is giving this aid to UNRWA. False equivalence to terror funding.      https://www.livemint.com/news/world/india-releases-usd-2-5-million-in-aid-for-palestine-refugees-days-after-backing-two-state-solution-with-israel-11721046734660.html    ,CURRENTLY_RATED_HELPFUL
144646,"&quot;The Jewish problem&quot; is a euphemism for the racist, genocidal Nazi theory that Jews are a corrupt and inferior race that is to blame on all of Germany's (and humanity's) problems. Their solution to this problem was first ethnic cleansing, and then the genocide of all Jews.   https://en.wikipedia.org/wiki/Jewish_question?wprov=sfti1#The_Nazi_%22Final_Solution%22  https://www.auschwitz.org/en/history/before-the-extermination/emigration-and-the-so-called-jewish-problem/  https://www.yadvashem.org/docs/report-on-jewish-problem-solution-galicia.html",CURRENTLY_RATED_HELPFUL
30640,The video shows a 2019 soccer match between Moroccan team Raja Casablanca and Palestinian team Hilal Al Quds at the Mohamed V stadium in Casablanca.    https://apnews.com/article/fact-checking-909101991741      https://www.youtube.com/watch?v=6LnMTRrnvCM,CURRENTLY_RATED_HELPFUL
74189,"This is inaccurate.    Layla Moran is the first MP of Palestinian descent, and has advocated strongly for humanitarian relief to Gaza, a ceasefire, and recognition of the Palestinian State.    Moran has several family members who live in Gaza.    https://inews.co.uk/news/politics/layla-moran-lib-dem-becomes-first-mp-palestinian-descent-elected-parliament-71424    https://www.theguardian.com/politics/2023/dec/19/foreign-policy-david-cameron-immediate-gaza-ceasefire    https://www.bbc.com/news/uk-politics-67139289",CURRENTLY_RATED_HELPFUL
172438,Image was posted 3 years ago by Facebook user.    https://www.facebook.com/101356491653422/photos/a.101380241651047/211064037349333/?type=3,CURRENTLY_RATED_HELPFUL
43984,Additional context needed for this quote. Elon Musk stated Isreal should be kind and rebuild the lives of the people in Gaza like what the United States did to Japan and Germany after the World War 2.   Link to the conversation:  https://x.com/netanyahu/status/1729112906242159005?s=46&amp;t=mj2byZZTAtlmeLKv_iPO4g ,CURRENTLY_RATED_HELPFUL
30045,"One of these videos is a fireworks celebration in Split, Croatia in 2020. It's got nothing to do with Gaza.      https://www.youtube.com/watch?v=0VmLR75CdxU",CURRENTLY_RATED_HELPFUL
167272,"False &amp; Misleading clickbait designed to drive users off X. The video claims footage of Bolton over Israel prior to Oct 7 2023 attacks link him to it... However, its well publicized footage from 2019 and not in danger of being taken down. More unfounded conspiracy theories.    https://www.upi.com/News_Photos/view/upi/13d6e025d422252dc8b850164fc99020/US-National-Security-Advisor-John-Bolton-in-Israel/",CURRENTLY_RATED_HELPFUL
38660,"These are illumination flares commonly used to provide light on a battlefield, not &quot;light bombs&quot; as the poster labels them.    Source  https://news.northropgrumman.com/news/releases/northrop-grumman-continues-illuminating-the-battlefield-for-us-army",CURRENTLY_RATED_HELPFUL
138639,AI-generated image. no source relays an attack on an American aircraft carrier.    you can see that it does not correspond to the American aircraft carrier    https://www.lepoint.fr/monde/yemen-un-navire-americain-abat-des-missiles-potentiellement-vers-israel-20-10-2023-2540083_24.php,CURRENTLY_RATED_HELPFUL
139725,"John F. Kennedy was assassinated in 1963 by Lee Harvey Oswald, an American.    Israel did not exist in 1947, but the Zionist paramilitary group Lehi allegedly sent mail bombs to the White House. This claim was never verified.    https://en.wikipedia.org/wiki/Assassination_of_John_F._Kennedy  https://archive.ph/20130111013038/http://news.google.com/newspapers?nid=1951&amp;dat=19721201&amp;id=s00xAAAAIBAJ&amp;sjid=AeIFAAAAIBAJ&amp;pg=2264,343939",CURRENTLY_RATED_HELPFUL
37428,"This is an edited, composite video of 2 different events.    The large crowd at the beginning is recorded by The Telegraph from March 2023- An organized protest regarding Israel's judicial reform.     https://www.youtube.com/watch?v=qLx88I6Dlac    The on site reporter is from ABC news from Oct. 14th.    https://abcnews.go.com/International/video/israeli-protestors-call-pm-netanyahu-traitor-103982146",CURRENTLY_RATED_HELPFUL
49614,"Misleading:    What he actually says is that 1,300 Jews died so far and there is a funeral every 5 minutes.    The post implies that the video is recent &amp; related to the ground operation in Gaza. The video is 2 month old of a soldier speaking in a yeshiva after the 7/10 massacre.    https://twitter.com/attilus/status/1713105766335254716?t=V0LZzUVmV54xHriR9NS33A&amp;s=19",CURRENTLY_RATED_HELPFUL
40805,"It has been confirmed by Israeli and other media that the parliament building in Gaza has been destroyed, but the building shown in this video is another building.    https://www.timesofisrael.com/liveblog_entry/military-demolishes-hamas-parliament-building-in-gaza-city/    https://twitter.com/manniefabian/status/1724837961835982979",CURRENTLY_RATED_HELPFUL
108776,"As you can clearly hear the police officer explain, he's arresting this man for shouting the slur &quot;KAPO&quot; at one of the Jewish protestors. Kapo is a serious slur to use against a Jew as it dates back to the Holocaust and refers to Jews who collaborated with the Nazis.  https://www.thejc.com/lets-talk/analysis/what-is-a-kapo-the-history-of-the-worst-insult-a-jew-can-give-another-jew-j61jwx06  https://allthatsinteresting.com/kapos",CURRENTLY_RATED_HELPFUL
59666,The Nazis planned &quot;the final solution&quot; to kill all Jews.  In particular they held the Wansee Conference where they detailed the count of Jews in every country and planned their genocide.    https://en.m.wikipedia.org/wiki/Wannsee_Conference,CURRENTLY_RATED_HELPFUL
98808,Attendees were booing the students that walked out not Jerry    https://www.foxnews.com/us/jerry-seinfeld-wife-applauds-duke-crowd-drowned-out-anti-israel-protesters-commencement-speech.amp,CURRENTLY_RATED_HELPFUL
47609,This incident occurred in February 2023 and shows &quot;Goyim Defense League&quot; founder Jon Minadeo II harassing Jewish people. Minadeo was sentenced to 30 days in jail for antisemitic littering.     https://twitter.com/BaruchSandhaus/status/1628429760622743553    https://www.timesofisrael.com/goyim-defense-league-founder-sentenced-to-30-days-for-antisemitic-littering/,CURRENTLY_RATED_HELPFUL
36855,"Houthis, a rebel group in Yemen, has effectively declared war in Israel. Yemen has not declared was on Israel.    https://amwaj.media/article/houthi-front#:~:text=Yemen's%20Ansarullah%20movement%2C%20better%20known,effectively%20declared%20war%20on%20Israel.",CURRENTLY_RATED_HELPFUL
38259,"Each Tamir interceptor missile for Iron Dome costs about $40,000 to $50,000, according to a researcher at Israel’s Institute for National Security Studies.    https://www.bloomberg.com/news/articles/2023-10-12/pentagon-owned-stocks-in-israel-transfered-to-defense-forces    https://www.inss.org.il/wp-content/uploads/systemfiles/MASA5-1Eng4_Shapir.pdf",CURRENTLY_RATED_HELPFUL
29561,"This is old footage that is being misrepresented as taking place recently in response to the recent clashes in Gaza and Southern Israel.    The airstrike depicted in the video took place in Gaza City on May 12th, 2021.    https://www.youtube.com/watch?v=Fo-ZU9g0QBk",CURRENTLY_RATED_HELPFUL
153067,This video is from Syria and has nothing to do with the IDF.     https://www.baladi-news.com/ar/articles/96808/%D8%AE%D8%B3%D8%A7%D8%A6%D8%B1-%D8%A8%D8%B5%D9%81%D9%88%D9%81-%D9%82%D9%88%D8%A7%D8%AA-%D8%A7%D9%84%D9%86%D8%B8%D8%A7%D9%85-%D8%A8%D8%B1%D9%8A%D9%81%D9%8A-%D8%AD%D9%84%D8%A8-%D9%88%D8%A7%D9%84%D9%84%D8%A7%D8%B0%D9%82%D9%8A%D8%A9,CURRENTLY_RATED_HELPFUL
30095,This video is not from Israel. It is a video of Argentinian football fans setting off fireworks: https://www.facebook.com/watch/?v=322064719177835,CURRENTLY_RATED_HELPFUL
40761,This is not from Gaza. The video shown is 10 years old and was filmed in Egypt. https://youtu.be/HfpTXcpCXl0?si=x6dQLVSG7Qn5evMe,CURRENTLY_RATED_HELPFUL
30187,"This is apparently an old video posted on TikTok 6 days ago, not related to this weekend's events in Israel and Gaza. https://twitter.com/theseeduneed/status/1711188312449261631    The original TikTok video can be seen here: https://www.tiktok.com/@memedkedir/video/7285424503692283142",CURRENTLY_RATED_HELPFUL
32430,Channel 10 in Israel closed down in Jan 2019       https://en.m.wikipedia.org/wiki/Channel_10_(Israel),CURRENTLY_RATED_HELPFUL
90650,This is a screen recording from a video game and not a real video. https://twitter.com/Savethebaconsy1/status/1781161035765792993?t=EY8ajb6ox-_TCKxy4K9bkA&amp;s=19,CURRENTLY_RATED_HELPFUL
97533,"The video is from a different event 14 years ago. Scroll to the middle of this video and see for yourself.  https://youtu.be/NvkxnFyl8PE?si=6Cs4raVL1jYEQ8bI    There were also protests against Israel and their lead singer in Malmo, but that is not what the video shows   https://www.bbc.com/news/world-europe-68986410.amp",CURRENTLY_RATED_HELPFUL
96061,"No divestment yet. The university merely announced that it will &quot;explore the removal of UCR's endowment tform the management of the UC Investments Office, and the investment of said endowment in a manner that will be financially and ethically sound sound for the university&quot;.    https://documents.ucr.edu/chancellor/May_3_ammended-agreement.pdf",CURRENTLY_RATED_HELPFUL
58421,Hamas is a sanctioned terrorist organization and it is prohibited by law in the United States to provide any service to a sanctioned person or organization.    https://www.dni.gov/nctc/groups/hamas.html  https://www.dni.gov/nctc/ftos/hamas_fto.html  https://www.state.gov/foreign-terrorist-organizations/  https://ofac.treasury.gov/specially-designated-nationals-and-blocked-persons-list-sdn-human-readable-lists,CURRENTLY_RATED_HELPFUL
119521,"The original video clearly shows that it was not taken in Gaza.    Based on the caption of the earliest upload, this video features a child from Azerbaijan eating raw sorrel, a type of leaf commonly used in local cuisine.    https://www.instagram.com/p/C6YCZ0sNBcV/?ig_mid=7FA7A60F-6794-44EF-B13E-1FEB73BB1997&amp;utm_source=igweb&amp;fall_back_to_web=false",CURRENTLY_RATED_HELPFUL
65811,"The State Department has confirmed that Gil is not entitled to claim diplomatic immunity and he is facing charges. Diplomatic immunity is afforded to certain diplomats, consular staff and in some cases dependents with restrictions varying according to position, not religion.    https://www.local10.com/news/local/2024/02/01/state-department-no-immunity-for-israeli-diplomats-son-accused-of-running-over-sunny-isles-beach-cop/",CURRENTLY_RATED_HELPFUL
31946,Footage showing CNN journalists taking shelter from rockets near the Israel-Gaza border has been altered to include a fabricated voiceover directing them to stage their coverage.    https://www.reuters.com/fact-check/fake-audio-added-cnn-video-israel-hamas-war-coverage-2023-10-11/,CURRENTLY_RATED_HELPFUL
152362,"Israeli political leaders have equated Iran's attacks to a &quot;declaration of war”; however, neither party, Israel or Iran, has issued a formal declaration of war at the time this tweet was written.     https://www.jpost.com/middle-east/iran-news/article-822870    https://apnews.com/article/israel-lebanon-hezbollah-gaza-news-10-01-2024-eb175dff6e46906caea8b9e43dfbd3da     https://web.archive.org/web/20241001184913/https://www.nbcnews.com/news/world/live-blog/israel-hezbollah-live-updates-idf-ground-operation-lebanon-rcna173389",CURRENTLY_RATED_HELPFUL
65968,This is a scene from an upcoming movie that redramatizes the events of October 7. It is not actual footage from the October 7 Hamas attack.    https://www.mako.co.il/nexter-news/Article-719aa7cab1b5d81027.htm,CURRENTLY_RATED_HELPFUL
107188,"A staged photo taken by artist Abdul Aziz al Otaibi    The graves are but piles of stones, the orphan was not an orphan but the photographer’s nephew, the image itself was actually taken in Saudi Arabia.  Here is an article about the photo itself: beirut.com/en/30914/this-…    Artists tweet Aziz: x.com/azizphotos/sta…",CURRENTLY_RATED_HELPFUL
31986,Experts have exposed an account “masquerading” as a Qatari news source that has spread false reports on an alleged Qatari threat to cut its gas supplies to the world if Israel continues to bomb the besieged Gaza Strip.  https://dohanews.co/gaza-experts-debunk-fake-news-on-qatar-gas-supply-threats/  https://checkyourfact.com/2023/10/12/fact-check-did-qatar-threaten-to-stop-gas-supplies-to-the-world-if-bombing-of-gaza-did-not-stop/,CURRENTLY_RATED_HELPFUL
59971,"Important context:  &quot;Recruiting and using children under the age of 15 as soldiers is prohibited under international humanitarian law – treaty and custom – and is defined as a war crime by the International Criminal Court.&quot;    https://childrenandarmedconflict.un.org/six-grave-violations/child-soldiers/#:~:text=Recruiting%20and%20using%20children%20under,by%20the%20International%20Criminal%20Court.",CURRENTLY_RATED_HELPFUL
34218,"This is the Welfare Party Kerala (India), marching in solidarity with Palestinians. The flag is their own flag, of which there are several different versions.     https://www.flickr.com/photos/welfare-party/16766803055    Their party name is on the banner at the front of the march.     https://welfareparty.in/    https://www.facebook.com/welfarepartykerala/",CURRENTLY_RATED_HELPFUL
70512,"This Israeli song only consists of two lyrics:    “ The people of Israel live,”    “ our Father still lives!”    https://www.zemirotdatabase.org/view_song.php?id=383",CURRENTLY_RATED_HELPFUL
123136,This image has been taken from @BorisGrohArt of a drawing of a Russian Kh-101 that struck from the Okhmatdyt Children's Hospital in Kyiv on July 8th 2024.  https://x.com/BorisGrohArt/status/1811058065648624119    The Israeli flag has also been deceptively placed over the turbojet to hide the fact that it is a Russian Kh-101.  https://en.wikipedia.org/wiki/Kh-101,CURRENTLY_RATED_HELPFUL
41609,"Per Adrienne Watson, the spokesperson from the National Security Council @NSC_Spox:    &quot;We have not reached a deal yet, but we continue to work hard to get to a deal.&quot;    https://x.com/NSC_Spox/status/1726064620387897370?s=20",CURRENTLY_RATED_HELPFUL
62938,"This is false.    The artificial island project presented by Israeli Foreign Minister Katz is intended to be a transport hub and an industrial zone, and not &quot;an island for the Palestinians&quot;    https://www.jpost.com/israel-hamas-war/article-783199#:~:text=Such%20an%20island%20could%20harbor%20a%20maritime%20port%2C%20an%20airport%2C%20a%20desalination%20plant%2C%20and%20an%20industrial%20zone    https://www.reuters.com/article/idUSKBN19J1XV/",CURRENTLY_RATED_HELPFUL
96344,This is not a letter from the United States Senate but rather from a group of 12 Republican senators.    https://www.thegatewaypundit.com/2024/05/republican-senators-warn-icc-chief-prosecutor-regarding-netanyahu/?utm_source=rss&amp;utm_medium=rss&amp;utm_campaign=republican-senators-warn-icc-chief-prosecutor-regarding-netanyahu,CURRENTLY_RATED_HELPFUL
95591,This is a digitally altered photo. Previous versions of this photo can be found as far back as December 2023:  https://www.dailymail.co.uk/sport/mma/article-12900523/Israeli-MMA-fighter-Haim-Gozali-takes-credit-Kanye-Wests-written-IDF.html  https://www.tmz.com/2023/12/26/kanye-west-apologizes-jewish-community-antisemitic-rants/  https://tineye.com/search/878b0be925ecd21f07c7f897ecc11a08ef04a70a?sort=score&amp;order=desc&amp;page=1,CURRENTLY_RATED_HELPFUL
36688,"Jesus Christ was given up to the Romans by the High Priest Caiaphas who was a Jew. This post is factually wrong.     https://bible.usccb.org/bible/matthew/26#:~:text=3*%20Then%20the%20chief%20priests,a%20riot%20among%20the%20people.%E2%80%9D",CURRENTLY_RATED_HELPFUL
88617,This image is circulating with false claims that this is an explosion in Tehran now.    It is not current.    This image is from an explosion at an Iranian oil refinery in 2021.     https://www.iranintl.com/en/202312179537    https://www.standard.co.uk/news/uk/iran-warship-sinks-gulf-oman-oil-refinery-b938492.html    https://www.timesofisrael.com/massive-fire-breaks-out-at-oil-refinery-near-irans-capital/ ,CURRENTLY_RATED_HELPFUL
107327,"Mexico's president, Claudia Sheinbaum Pardo, Did not use gas or any other method of violence against said protestors.  She also has said in an interview that she doesn't condone any kind of violence against innocent civilians of palestine.    https://www.capital21.cdmx.gob.mx/noticias/?p=13707  https://www.youtube.com/watch?v=rQlPhH25fgQ",CURRENTLY_RATED_HELPFUL
126310,There are currently 5 US citizens being held hostage in Gaza. As such Trump is referring to our (the United States’) hostages.    https://www.washingtonexaminer.com/magazine-features/2995502/hamass-hostages-who-are-the-five-remaining-americans-still-held-by-the-terror-group/,CURRENTLY_RATED_HELPFUL
78360,"Calling into question the &quot;viability&quot; of an ethnic group, such as Jews, is racist and can be considered a call to genocide per the UN's Genocide Convention.    https://www.un.org/en/genocideprevention/documents/Genocide%20Convention-FactSheet-ENG.pdf    https://www.apa.org/topics/racism-bias-discrimination",CURRENTLY_RATED_HELPFUL
152474,"Prime Minister Benjamin Netanyahu was hurrying to a close vote on the night of December 14th, 2021, in the Knesset, the Israeli parliament.    This is completely unrelated to finding shelter from the Iranian missiles on October 1, 2024 (nearly three years later).    https://www.kikar.co.il/political-news/407728    https://www.hidabroot.org/article/1162572    https://x.com/netanyahu/status/1470499097303998471",CURRENTLY_RATED_HELPFUL
31925,Experts have exposed an account “masquerading” as a Qatari news source that has spread false reports on an alleged Qatari threat to cut its gas supplies to the world if Israel continues to bomb the besieged Gaza Strip.  https://dohanews.co/gaza-experts-debunk-fake-news-on-qatar-gas-supply-threats/  https://checkyourfact.com/2023/10/12/fact-check-did-qatar-threaten-to-stop-gas-supplies-to-the-world-if-bombing-of-gaza-did-not-stop/,CURRENTLY_RATED_HELPFUL
89371,"Samsung Next, which is only one branch of Samsung, has ceased operations in Israel due to difficult economic circumstances. Samsung as a whole continue to operate in Israel.    https://www.newarab.com/news/samsung-next-leaves-israel-economy-suffers-gaza-war?amp",CURRENTLY_RATED_HELPFUL
40806,"It has been confirmed by Israeli and other media that the parliament building in Gaza has been destroyed, but the building shown in this video is another building.    https://www.timesofisrael.com/liveblog_entry/military-demolishes-hamas-parliament-building-in-gaza-city/    https://twitter.com/manniefabian/status/1724837961835982979",CURRENTLY_RATED_HELPFUL
31027,"Yoav Gallant's actual statement:    &quot;I have released all the restraints, we have regained control of the area &amp; we are moving to a full offensive. Whoever comes to decapitate, murder women, Holocaust survivors - we will eliminate him with all our might &amp; without compromise&quot;    https://www.timesofisrael.com/liveblog_entry/us-defense-secretary-phones-gallant-for-third-time-in-four-days-to-discuss-gaza-war/",CURRENTLY_RATED_HELPFUL
32516,"The last elections in Palestine were held in 2006.    https://www.newarab.com/news/after-18-years-hamas-ready-municipal-elections-gaza    https://en.m.wikipedia.org/wiki/2006_Palestinian_legislative_election    Nearly half of Palestinians are under 18 and were all either not alive in 2006, or could not vote.     https://www.npr.org/2023/10/11/1205017249/how-to-talk-to-children-violence-israeli-palestinian-gaza-hamas  ",CURRENTLY_RATED_HELPFUL
